slice_idx,hop_idx_in_batch,psnr_ceil,psnr_transport,attackable_gap_dB,psnr_transport_vs_ceil,latent_l2_rel
0,0,50.58320203332866,38.48919832403162,12.094003709297041,38.81001057302296,0.008784622850596174
1,0,42.94905641520485,30.633596415998824,12.315459999206027,30.804748903685695,0.015050409059324433
2,0,43.04693178858297,29.74673191117626,13.300199877406708,29.863659019008,0.023919548574781752
3,0,45.2530140883068,31.97806224372648,13.274951844580318,32.17808934279391,0.017930892629502444
4,0,43.320764647110536,30.197125336920127,13.12363931019041,30.429476446544093,0.018123141839842587
5,0,44.72910261297329,31.762439688922512,12.96666292405078,32.00989580859729,0.02302096256758838
6,0,39.22856088627394,30.775287532628752,8.453273353645187,31.224603381741126,0.02348803621447519
7,0,48.008780905810355,36.922646429248616,11.086134476561739,37.46115921966357,0.03765011534469129
8,0,44.30969780617386,31.47000820534384,12.839689600830017,31.71682956888558,0.03976955269533493
9,0,41.19164252776386,30.106529315426364,11.085113212337497,30.72738297501507,0.07325916683678041
10,0,51.889629106572116,40.07388374520151,11.815745361370602,40.47842190633224,0.012996736337016531
11,0,41.41311339819798,28.969755188822504,12.443358209375475,29.18548429773729,0.041537983015788434
12,0,43.82266511601556,30.559738838296735,13.262926277718822,30.778798759511535,0.018807672775803478
13,0,45.85314097744113,32.942744162438004,12.910396815003125,33.141749722528274,0.025844542487164383
14,0,43.91161802900241,30.436973879302368,13.474644149700044,30.647449129191422,0.03162670143571414
15,0,41.64571909951826,33.78239206984932,7.8633270296689375,34.11801174443407,0.022499213496354382
16,0,43.710590087372594,30.781542318499238,12.929047768873357,31.01011195206419,0.018431259546960135
17,0,41.07701560568687,28.01325640639919,13.063759199287677,28.128411365719654,0.01792502848000075
18,0,50.1790708163451,37.67435028364801,12.504720532697092,37.84175221318419,0.016846706774509834
19,0,38.94493866290169,31.236998849742275,7.707939813159417,31.82922030910624,0.05818368055350035
20,0,43.76309954031508,30.76017863769461,13.00292090262047,30.986743565366496,0.04029962969113926
21,0,44.99425166334689,32.7379380500621,12.256313613284789,33.01261746610899,0.027450953553575477
22,0,51.33126587707248,41.048131025127375,10.283134851945107,41.57212988655199,0.013043469760543623
23,0,42.53400248282716,29.559977730134328,12.974024752692834,29.603695073006183,0.021912531204633226
24,0,50.5446048898431,38.47372255234258,12.070882337500521,38.76418752104314,0.015239445881597804
25,0,41.763159871032386,32.45328708598649,9.309872785045897,32.691587464592715,0.026698346738709553
26,0,39.380380498565316,30.460167658979163,8.920212839586153,30.872542675815485,0.04543411405104679
27,0,52.33921692970763,40.3745907727166,11.96462615699103,40.79660801824424,0.01116212951049775
28,0,43.5784080105735,30.051417818114547,13.52699019245895,30.13287671659426,0.029865568184962256
29,0,47.75531912620869,34.993393883952805,12.761925242255884,35.21799509191315,0.02081421059369235
30,0,46.0751081963017,33.238405977405364,12.836702218896335,33.416157310557466,0.03854726892072084
31,0,43.366900601128634,29.983944200082053,13.382956401046581,30.158541646265316,0.031458250972126074
32,0,48.39435512966077,35.29519876462567,13.0991563650351,35.53734504380118,0.028023678938853616
33,0,43.76908971361782,31.090583128280766,12.67850658533705,31.342830919995894,0.029345582767713728
34,0,50.573195011169716,38.357688270159926,12.21550674100979,38.6198784224163,0.015579785934045604
35,0,44.275247005535704,31.046075392860324,13.22917161267538,31.253750211117108,0.02252528761497131
36,0,49.86810725860329,37.663744942497736,12.204362316105552,37.87813982539376,0.019852407626858855
37,0,72.06678323784207,74.56016024554707,-2.493377007704993,78.13354392232759,0.0018064982859005078
38,0,44.60295399616108,33.64759773439093,10.955356261770149,34.026455636366165,0.028992639041662428
39,0,50.89352680616244,39.39259971099992,11.500927095162524,39.720242453966534,0.011205956312036743
40,0,40.820154449782834,31.31631854978291,9.503835899999924,31.755305525123347,0.02977224723035778
41,0,51.16016495122227,39.06706270540686,12.093102245815409,39.39797930913882,0.01564770059267033
42,0,52.811043264133545,41.822193268955104,10.988849995178441,42.199810924997436,0.008883246596543555
43,0,44.17468474970855,30.767872661268356,13.40681208844019,30.95038421808416,0.01887991376368647
44,0,43.91962856347031,31.012570705989884,12.907057857480428,31.203560357305335,0.021890459718725216
45,0,66.00806863167779,65.98754028909251,0.020528342585279802,77.71014290764103,0.004662979834295686
46,0,44.233071408907136,31.220981519935513,13.012089888971623,31.456220358986116,0.03100477251651021
47,0,43.74511556087512,31.11294403916051,12.63217152171461,31.270347261178753,0.018361582309748707
48,0,52.623865727946196,42.2764969853086,10.347368742637599,42.79677933410217,0.009002605106206726
49,0,41.93094452628996,28.923625581902723,13.00731894438724,29.071125615462236,0.029008350617715936
50,0,44.43058662583928,31.629072969221784,12.801513656617498,31.793958303272234,0.018162115194789302
51,0,44.624435778409776,32.5644620793468,12.05997369906298,32.8871298810155,0.033781200675756545
52,0,44.57094212425761,31.748490576700153,12.82245154755746,31.94382460923097,0.017289225841244024
53,0,51.20075899784574,40.45568905713385,10.745069940711886,40.81882338302357,0.021534354964460566
54,0,41.86443793279662,28.77389677297259,13.090541159824028,28.82879612140654,0.05030539088284836
55,0,50.92388787842292,38.941656982523824,11.982230895899093,39.255304515421614,0.017736893917296777
56,0,42.14043386965837,30.97410922958746,11.166324640070908,31.56592971341174,0.044227211216027205
57,0,44.40976707276634,31.66865238059596,12.741114692170381,31.858963509418793,0.031023589844216184
58,0,43.45192240692593,30.70888047453257,12.74304193239336,30.8864705409189,0.01900204250058536
59,0,51.33162987699218,40.884970641211225,10.446659235780956,41.3874093207116,0.017057883906693515
60,0,39.30999202892163,31.23981311544087,8.070178913480756,31.530243798323912,0.037677873537784595
61,0,40.71280465946381,27.519436454835215,13.193368204628598,27.618820285150456,0.036536884044275734
62,0,35.90595575693635,26.166777955666223,9.739177801270127,26.05054349991632,0.18146626441361274
63,0,43.59917831754835,33.11998762188309,10.47919069566526,33.65762388943534,0.030013506492380257
64,0,51.10216673190297,39.959908243816585,11.142258488086384,40.32053457253436,0.022830705167709214
65,0,43.44359984712838,30.28082782618909,13.162772020939293,30.411166476369612,0.01748555816878413
66,0,51.082934261019375,39.31167975342743,11.771254507591948,39.67998340396025,0.013202550274634479
67,0,42.49646926315877,34.62687582061089,7.869593442547881,35.16672643901478,0.041109716208974655
68,0,43.27098471488263,34.78154446004267,8.489440254839963,35.111480921094596,0.025999651553591612
69,0,42.39011257052782,29.431441573007227,12.958670997520592,29.586617399703616,0.01853488067099928
70,0,44.41192580021702,31.200016719493135,13.211909080723885,31.354665188364915,0.016176929062361015
71,0,51.2801939949217,40.11751199073405,11.162682004187651,40.53703515826032,0.02619611185358554
72,0,51.091370546751975,38.81109218324489,12.280278363507087,39.091563274204304,0.011140910817334726
73,0,51.632879522570676,40.83087177177286,10.802007750797813,41.30578988045055,0.015180041928851754
74,0,49.19404045882028,36.95132462237105,12.242715836449236,37.24366818350063,0.024975697708399205
75,0,42.20201252846233,31.587457670296796,10.614554858165537,32.184013697900255,0.061832228981959045
76,0,50.01031487911979,38.33998278387499,11.670332095244802,38.65286573353423,0.010721652626030885
77,0,53.07942376279054,43.065835431653014,10.013588331137527,43.6552789497819,0.00822747484943558
78,0,43.15866593643554,30.93167112687398,12.22699480956156,31.095088614016962,0.03438383891758378
79,0,51.40088982846348,39.48872184494677,11.91216798351671,39.82402229322008,0.010708231649360947
80,0,47.05199099595578,35.56811346392304,11.483877532032736,36.07472941123517,0.025631458672958605
81,0,42.30741671502847,29.34574405158876,12.961672663439707,29.511475001994498,0.025650972859068595
82,0,72.06678323784207,74.56016024554707,-2.493377007704993,78.13354392232759,0.0018064982859005078
83,0,51.50830431815068,39.940044455846305,11.568259862304373,40.30901860440373,0.021780135202918972
84,0,45.74196942152636,32.956213539366814,12.785755882159549,33.139534708230144,0.018313301206497625
85,0,41.096762889096354,32.12955897187537,8.967203917220985,32.251422943301705,0.05171809062999716
