slice_idx,mse_D10,mse_D20,mse_D4,mse_D50,mse_NORMAL,mse_raw_D10,mse_raw_D20,mse_raw_D4,mse_raw_D50,mse_raw_NORMAL,psnr_D10,psnr_D20,psnr_D4,psnr_D50,psnr_NORMAL,psnr_raw_D10,psnr_raw_D20,psnr_raw_D4,psnr_raw_D50,psnr_raw_NORMAL
0,3.9272326830541715e-05,5.049280298408121e-05,3.5399123589741066e-05,8.181657904060557e-06,3.110670149908401e-05,3.9272326830541715e-05,5.049280298408121e-05,3.5399123589741066e-05,8.181657904060557e-06,3.110670149908401e-05,39.64748644978284,38.54941332233356,40.10416959718772,46.56795623231045,40.67294512120141,39.64748644978284,38.54941332233356,40.10416959718772,46.56795623231045,40.67294512120141
1,0.00026281524333171546,0.0003202402440365404,0.00024318485520780087,5.6315424444619566e-05,0.00021130352979525924,0.00026281524333171546,0.0003202402440365404,0.00024318485520780087,5.6315424444619566e-05,0.00021130352979525924,31.390656435614414,30.585965206161525,31.71884229580012,38.6145077110337,32.33441967740421,31.390656435614414,30.585965206161525,31.71884229580012,38.6145077110337,32.33441967740421
2,0.0002937073295470327,0.0003880395961459726,0.00024446172756142914,5.7463541452307254e-05,0.00022284894657786936,0.0002937073295470327,0.0003880395961459726,0.00024446172756142914,5.7463541452307254e-05,0.00022284894657786936,30.900687351070438,29.77289538693043,31.691521807851878,38.44569134192909,32.0969443084217,30.900687351070438,29.77289538693043,31.691521807851878,38.44569134192909,32.0969443084217
3,0.00017616464174352586,0.00022827796055935323,0.000144859790452756,3.604306766646914e-05,0.00012073165999026969,0.00017616464174352586,0.00022827796055935323,0.000144859790452756,3.604306766646914e-05,0.00012073165999026969,33.113394784446115,31.98580683150668,33.96554145186137,40.08430314428926,34.76029178939937,33.113394784446115,31.98580683150668,33.96554145186137,40.08430314428926,34.76029178939937
4,0.00031142140505835414,0.0003457100538071245,0.00024891618522815406,6.507760554086417e-05,0.00021269200078677386,0.00031142140505835414,0.0003457100538071245,0.00024891618522815406,6.507760554086417e-05,0.00021269200078677386,30.82508967208714,30.229805316130005,31.62251415739442,38.06936881684793,32.3143552205762,30.82508967208714,30.229805316130005,31.62251415739442,38.06936881684793,32.3143552205762
5,0.00021244780509732664,0.00023659496218897402,0.00016603955009486526,3.87034124287311e-05,0.00014060047396924347,0.00021244780509732664,0.00023659496218897402,0.00016603955009486526,3.87034124287311e-05,0.00014060047396924347,32.29619063495164,31.831789069889282,33.36867088463224,39.918610178855275,34.094129858969545,32.29619063495164,31.831789069889282,33.36867088463224,39.918610178855275,34.094129858969545
6,0.0004479920316953212,0.0005287734093144536,0.00045138286077417433,0.0001305021287407726,0.00042864642455242574,0.0004479920316953212,0.0005287734093144536,0.00045138286077417433,0.0001305021287407726,0.00042864642455242574,30.792865920642345,30.64927088421508,30.900742096592165,36.7405622946876,30.971254813438886,30.792865920642345,30.64927088421508,30.900742096592165,36.7405622946876,30.971254813438886
7,5.62241802981589e-05,7.458392065018415e-05,5.013591726310551e-05,2.724851219682023e-05,4.952049130224623e-05,5.62241802981589e-05,7.458392065018415e-05,5.013591726310551e-05,2.724851219682023e-05,4.952049130224623e-05,38.10508921275936,36.865551987410235,38.612248236958564,42.29665094582009,38.67771969784583,38.10508921275936,36.865551987410235,38.612248236958564,42.29665094582009,38.67771969784583
8,0.00022075716697145253,0.0002553689409978688,0.00018588076636660844,4.656063538277522e-05,0.00016648888413328677,0.00022075716697145253,0.0002553689409978688,0.00018588076636660844,4.656063538277522e-05,0.00016648888413328677,32.13387422436398,31.499805423444755,32.88382162228757,39.21205809597335,33.36664880775163,32.13387422436398,31.499805423444755,32.88382162228757,39.21205809597335,33.36664880775163
9,0.00021573739650193602,0.0003779605031013489,0.00013657845556735992,0.00020008394494652748,9.133402636507526e-05,0.00021573739650193602,0.0003779605031013489,0.00013657845556735992,0.00020008394494652748,9.133402636507526e-05,32.25547237874039,30.132316536212574,34.249442886088325,37.29554160440368,36.01585513457859,32.25547237874039,30.132316536212574,34.249442886088325,37.29554160440368,36.01585513457859
10,2.9905470000812784e-05,3.523748819134198e-05,2.4182438210118562e-05,6.600532287848182e-06,1.9283472283859737e-05,2.9905470000812784e-05,3.523748819134198e-05,2.4182438210118562e-05,6.600532287848182e-06,1.9283472283859737e-05,40.86213601417155,40.13405424604774,41.80275882604249,47.53471689163753,42.80968394299816,40.86213601417155,40.13405424604774,41.80275882604249,47.53471689163753,42.80968394299816
11,0.00044618165702559054,0.0005382743547670543,0.00038164190482348204,8.49594798637554e-05,0.0003117153828497976,0.00044618165702559054,0.0005382743547670543,0.00038164190482348204,8.49594798637554e-05,0.0003117153828497976,29.73592234322632,29.049000377587785,30.272170294323633,37.01532080308992,30.985104468355434,29.73592234322632,29.049000377587785,30.272170294323633,37.01532080308992,30.985104468355434
12,0.0002682877820916474,0.00031528144609183073,0.00021865649614483118,4.456431634025648e-05,0.00020508115994744003,0.0002682877820916474,0.00031528144609183073,0.00021865649614483118,4.456431634025648e-05,0.00020508115994744003,31.31947790969455,30.581463073713465,32.17403391315677,39.51752755531656,32.454415454686966,31.31947790969455,30.581463073713465,32.17403391315677,39.51752755531656,32.454415454686966
13,0.00015307596186175942,0.00018534927221480757,0.00012023372983094305,3.0103870813036337e-05,0.00010893572471104562,0.00015307596186175942,0.00018534927221480757,0.00012023372983094305,3.0103870813036337e-05,0.00010893572471104562,33.722537749690346,32.89197891820823,34.77401637934457,40.98372026149856,35.206005230081395,33.722537749690346,32.89197891820823,34.77401637934457,40.98372026149856,35.206005230081395
14,0.0002635116397868842,0.0003318161179777235,0.00020988518372178078,5.015850911149755e-05,0.00018257727788295597,0.0002635116397868842,0.0003318161179777235,0.00020988518372178078,5.015850911149755e-05,0.00018257727788295597,31.360189333436793,30.361028286932306,32.34963764652231,38.75381143252884,32.95720076729671,31.360189333436793,30.361028286932306,32.34963764652231,38.75381143252884,32.95720076729671
15,0.0011731836711987853,0.0009500451851636171,0.001024787430651486,0.00023812249128241092,0.0009538382291793823,0.0011731836711987853,0.0009500451851636171,0.001024787430651486,0.00023812249128241092,0.0009538382291793823,33.65859895176608,33.94710855835411,33.77680225194477,38.09536353446826,33.9314804173691,33.65859895176608,33.94710855835411,33.77680225194477,38.09536353446826,33.9314804173691
16,0.0002630842791404575,0.00030524173052981496,0.0002295315935043618,5.749532283516601e-05,0.00018293775792699307,0.0002630842791404575,0.00030524173052981496,0.0002295315935043618,5.749532283516601e-05,0.00018293775792699307,31.367548258902172,30.76312956786543,31.965289430390605,38.532391833726095,32.94970629365882,31.367548258902172,30.76312956786543,31.965289430390605,38.532391833726095,32.94970629365882
17,0.0006004516617394984,0.000690452114213258,0.0004695326497312635,0.00012440119462553412,0.0004832408158108592,0.0006004516617394984,0.000690452114213258,0.0004695326497312635,0.00012440119462553412,0.0004832408158108592,28.883997930843623,28.020640376814075,29.956890909098735,35.612105753108736,30.127300374874995,28.883997930843623,28.020640376814075,29.956890909098735,35.612105753108736,30.127300374874995
18,4.796573557541706e-05,6.129253597464412e-05,4.3813070078613237e-05,8.74257784744259e-06,4.167058432358317e-05,4.796573557541706e-05,6.129253597464412e-05,4.3813070078613237e-05,8.74257784744259e-06,4.167058432358317e-05,38.77637410216944,37.70461124258664,39.17622760997048,46.28460524110584,39.406615153297025,38.77637410216944,37.70461124258664,39.17622760997048,46.28460524110584,39.406615153297025
19,0.001236730837263167,0.001129735610447824,0.0011921715922653675,0.0002662950719241053,0.0011484731221571565,0.001236730837263167,0.001129735610447824,0.0011921715922653675,0.0002662950719241053,0.0011484731221571565,31.103008376883164,31.187574088505656,30.994596290285862,36.18651714830396,31.216670967273515,31.103008376883164,31.187574088505656,30.994596290285862,36.18651714830396,31.216670967273515
20,0.00023624736058991402,0.00030555028934031725,0.00019893026910722256,4.995819472242147e-05,0.00016937982582021505,0.00023624736058991402,0.00030555028934031725,0.00019893026910722256,4.995819472242147e-05,0.00016937982582021505,31.837324945822413,30.718794504451076,32.58661924573008,38.78911735936425,33.28820951755549,31.837324945822413,30.718794504451076,32.58661924573008,38.78911735936425,33.28820951755549
21,0.00015941556193865836,0.00019471529230941087,0.00013868469977751374,3.4068329114234075e-05,0.00011982650903519243,0.00015941556193865836,0.00019471529230941087,0.00013868469977751374,3.4068329114234075e-05,0.00011982650903519243,33.55643585737169,32.68464148939881,34.16587582454082,40.416775738223265,34.80532619215644,33.55643585737169,32.68464148939881,34.16587582454082,40.416775738223265,34.80532619215644
22,2.851040699169971e-05,2.9236971386126243e-05,2.5195242415065877e-05,8.44159148982726e-06,2.536905049055349e-05,2.851040699169971e-05,2.9236971386126243e-05,2.5195242415065877e-05,8.44159148982726e-06,2.536905049055349e-05,41.077821933877914,40.95724273513407,41.62089280864076,46.507642844726746,41.61911897885457,41.077821933877914,40.95724273513407,41.62089280864076,46.507642844726746,41.61911897885457
23,0.00032236441620625556,0.00043846172047778964,0.0002567800984252244,7.176140934461728e-05,0.00022531508875545114,0.00032236441620625556,0.00043846172047778964,0.0002567800984252244,7.176140934461728e-05,0.00022531508875545114,30.69133560644294,29.522489879127004,31.620755738249013,37.964391124828026,32.150380342394996,30.69133560644294,29.522489879127004,31.620755738249013,37.964391124828026,32.150380342394996
