timepoint,metric,family,direction,n,v13_mean,l1_only_mean,a4_mid_mean,l1_vs_v13_delta,l1_vs_v13_delta_pct,l1_vs_v13_ci_lo,l1_vs_v13_ci_hi,l1_vs_v13_win_rate,a4_vs_v13_delta,a4_vs_v13_delta_pct,a4_vs_v13_ci_lo,a4_vs_v13_ci_hi,a4_vs_v13_win_rate,a4_vs_l1_delta,a4_vs_l1_delta_pct,a4_vs_l1_ci_lo,a4_vs_l1_ci_hi,a4_vs_l1_win_rate
D50,psnr,independent,higher_better,7403,42.62237792998663,42.62237792998663,42.62237792998663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,ssim,training_aligned,higher_better,7403,0.9897079673004073,0.9897079673004073,0.9897079673004073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,ms_ssim,independent,higher_better,7403,0.9987628010500287,0.9987628010500287,0.9987628010500287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,nrmse,independent,lower_better,7403,0.009215380050793658,0.009215380050793658,0.009215380050793658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,rmse,independent,lower_better,7403,0.027646140152726935,0.027646140152726935,0.027646140152726935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,mae,training_aligned,lower_better,7403,0.007154708230991678,0.007154708230991678,0.007154708230991678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,seam,training_aligned,lower_better,7403,0.04239531728875508,0.04239531728875508,0.04239531728875508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,ext_seam,supporting_gt_seam,lower_better,7403,0.009356390079123278,0.009356390079123278,0.009356390079123278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20,psnr,independent,higher_better,7403,35.21715886120136,35.40329026454932,35.49179755724709,0.18613140334795775,0.5285247571547237,0.16909294006219183,0.20361093694969434,0.7908955828718087,0.2746386960457271,0.7798434198742129,0.2563133565099702,0.2928881843869868,0.8896393354045657,0.08850729269776934,0.24999736475452708,0.08460949655012186,0.09278440432642202,0.7721194110495745
D20,ssim,training_aligned,higher_better,7403,0.9557834914950251,0.9599790409354283,0.9612877987436905,0.0041955494404032345,0.43896441796045327,0.0041075641142666606,0.004291294777407834,0.9974334729163853,0.005504307248665484,0.5758947813647328,0.005365522328264912,0.005659212878342015,0.9987842766446036,0.001308757808262249,0.13633191480794848,0.00125327139577559,0.0013692194360425756,0.914764284749426
D20,ms_ssim,independent,higher_better,7403,0.983782459952679,0.9843199752350683,0.9846882612000248,0.0005375152823893779,0.05463761596392285,0.0005208043447293578,0.0005550635532462939,0.9050384979062542,0.000905801247345923,0.09207332761243711,0.0008670211038215419,0.000948538610050195,0.9569093610698366,0.0003682859649565451,0.03741526883761489,0.00034033151678856716,0.00039767636393560324,0.7786032689450223
D20,nrmse,independent,lower_better,7403,0.022520158332898513,0.02226349356997539,0.022053268265624527,-0.0002566647629231268,-1.1397111828835536,-0.00026766406376921894,-0.0002454403725866904,0.7908955828718087,-0.00046689006727398664,-2.073209523540212,-0.00048023570767175916,-0.000454550033240515,0.8896393354045657,-0.0002102253043508599,-0.9442601795181433,-0.000219804123573892,-0.00020109976715881582,0.7721194110495745
D20,rmse,independent,lower_better,7403,0.06756047499184319,0.06679048068437038,0.06615980480387533,-0.0007699943074728077,-1.1397112106831278,-0.0008020444445042301,-0.0007372267944192676,0.7908955828718087,-0.0014006701879678606,-2.073209503244269,-0.001438549437351732,-0.001362524077775635,0.8896393354045657,-0.0006306758804950528,-0.9442601311336828,-0.0006594736634527482,-0.0006026905764057282,0.7721194110495745
D20,mae,training_aligned,lower_better,7403,0.017146239152129452,0.016474708022515813,0.01626153198813473,-0.000671531129613638,-3.916492261979434,-0.0006940990441168794,-0.0006501560306230946,0.9989193570174254,-0.0008847071639947202,-5.159773849794025,-0.0009134353111953648,-0.0008577111182057681,0.9990544373902472,-0.00021317603438108224,-1.2939594078980747,-0.00022192999453046598,-0.0002048870560251579,0.8616776982304472
D20,seam,training_aligned,lower_better,7403,0.025910094768309234,0.023894579282961282,0.01978493305703315,-0.0020155154853479518,-7.778881178825864,-0.002093540589897197,-0.0019421427833112884,0.9890584898014319,-0.006125161711276084,-23.640059081404054,-0.0063731712050888786,-0.005895012415507379,0.9993245981358908,-0.004109646225928132,-17.199073385061162,-0.004266537693658249,-0.003956170357813711,0.9985141158989599
D20,ext_seam,supporting_gt_seam,lower_better,7403,0.01378958283436204,0.013191694592063409,0.012756471780230238,-0.00059788824229863,-4.335796444898695,-0.0006137057914315588,-0.000582769548100683,0.9990544373902472,-0.0010331110541318023,-7.491967426000803,-0.0010652692968166465,-0.0010012636905275313,0.9994596785087126,-0.0004352228118331722,-3.2992183740746825,-0.0004545675201200695,-0.0004182451515591717,0.9891935701742537
D10,psnr,independent,higher_better,7403,35.597090462763475,35.779874070029244,35.886429164468844,0.1827836072657671,0.5134790649729332,0.1732019174593171,0.19225102352280102,0.8439821693907875,0.28933870170536297,0.8128155923530526,0.278968481362351,0.29932704277540056,0.9285424827772525,0.10655509443959581,0.29780734898910927,0.1009585509096006,0.11228538294991353,0.7521275158719438
D10,ssim,training_aligned,higher_better,7403,0.9521342067803529,0.9557231527783493,0.957309615583045,0.0035889459979964095,0.3769369877102148,0.003519478604014916,0.0036618867234155064,0.9927056598676213,0.0051754088026920424,0.5435587510496778,0.005050911061243319,0.005314947803991976,0.9972983925435635,0.0015864628046956333,0.16599606278069992,0.001513162447635014,0.0016621427379657457,0.9099013913278401
D10,ms_ssim,independent,higher_better,7403,0.9820549047010969,0.982828778720105,0.9833108747261498,0.0007738740190080609,0.0788015023705422,0.0007460945577343203,0.0008015395934412953,0.9373227070106713,0.0012559700250528993,0.127892037302657,0.0012027518020852476,0.001309978978852557,0.979467783331082,0.00048209600604483846,0.04905188131269935,0.00045038197937568723,0.0005177032123477688,0.8189923004187492
D10,nrmse,independent,lower_better,7403,0.021335080231485462,0.020974213603703877,0.020722849167074935,-0.00036086662778158523,-1.6914238140479672,-0.0003756455549925593,-0.00034666011297160325,0.8439821693907875,-0.0006122310644105273,-2.869598134939381,-0.0006305008875461828,-0.0005933296199928428,0.9285424827772525,-0.0002513644366289421,-1.198445106826571,-0.0002623583276466355,-0.0002404104697505675,0.7521275158719438
D10,rmse,independent,lower_better,7403,0.06400524069476697,0.06292264080542492,0.062168547518949326,-0.0010825998893420397,-1.6914238234097485,-0.0011268121680284918,-0.0010389394597565221,0.8439821693907875,-0.0018366931758176394,-2.8695981077183985,-0.0018937216663063722,-0.001779114632778435,0.9285424827772525,-0.0007540932864755997,-1.198445069728518,-0.0007876188794630526,-0.0007236211974357284,0.7521275158719438
D10,mae,training_aligned,lower_better,7403,0.016430350307941433,0.015906561729159798,0.015660913054058014,-0.0005237885787816373,-3.1879331174604943,-0.0005409058350144002,-0.0005062750186988283,0.986627043090639,-0.0007694372538834212,-4.683024034560736,-0.0007975981527585483,-0.0007441229291631039,0.9968931514250979,-0.00024564867510178394,-1.544322898212896,-0.0002570435725952538,-0.0002345069281416509,0.8583006889099014
D10,seam,training_aligned,lower_better,7403,0.022503894081397864,0.020841366419224964,0.01746901592199669,-0.0016625276621729014,-7.387733234787919,-0.0017401090848909511,-0.00158723038979472,0.9631230582196407,-0.005034878159401173,-22.373364099518657,-0.005231801821251989,-0.004836214266803382,0.9987842766446036,-0.0033723504972282717,-16.18104316863539,-0.0035073204472612176,-0.0032473493324868524,0.9968931514250979
D10,ext_seam,supporting_gt_seam,lower_better,7403,0.012385126224323462,0.011920203811999461,0.011471242158303432,-0.00046492241232400056,-3.7538770611067953,-0.00047937277842792253,-0.0004502166473126071,0.9852762393624206,-0.0009138840660200292,-7.378883747064517,-0.0009441053125644911,-0.0008841524377127143,0.9985141158989599,-0.0004489616536960287,-3.7663924273180784,-0.00046844648341513124,-0.0004308288378771099,0.9520464676482507
D4,psnr,independent,higher_better,7403,36.11222948548139,36.31444431191475,36.45925266477018,0.20221482643335348,0.5599621771196713,0.19210029506668058,0.2110263892524483,0.8592462515196542,0.3470231792887915,0.9609575045160508,0.3356551128926053,0.359528599622123,0.935971903282453,0.14480835285543797,0.3987624087309149,0.13680776931838912,0.15304063717687316,0.7771173848439822
D4,ssim,training_aligned,higher_better,7403,0.9537434051862266,0.9568267699497609,0.9586472784556619,0.00308336476353428,0.32329080827900736,0.0030139169655239127,0.003147324576534822,0.9798730244495475,0.004903873269435249,0.5141711326934654,0.00477323794887057,0.005040193070644594,0.9950020262055923,0.0018205085059009693,0.1902652144647413,0.0017456451008468967,0.0018998914789604509,0.917060651087397
D4,ms_ssim,independent,higher_better,7403,0.9822518841955897,0.9831034987178603,0.983643417565803,0.0008516145222705232,0.0867002177316207,0.0008139093163860687,0.0008904909717938888,0.9320545724706201,0.0013915333702131717,0.141667671256519,0.0013266529965912765,0.0014601213721412267,0.9775766581115763,0.0005399188479426486,0.05491983790585607,0.0005056375540890257,0.0005794570610726035,0.8260164798054843
D4,nrmse,independent,lower_better,7403,0.01992352416541797,0.01948725881092259,0.019179542978478747,-0.00043626535449537893,-2.189699728186751,-0.0004553166476845174,-0.00041768072554359,0.8592462515196542,-0.00074398118693922,-3.7341846791873143,-0.0007696996305480326,-0.0007197013312054413,0.935971903282453,-0.00030771583244384104,-1.5790616598747413,-0.00031982745731189507,-0.0002961141079225126,0.7771173848439822
D4,rmse,independent,lower_better,7403,0.0597705724965291,0.05846177641187457,0.05753862890783026,-0.0013087960846545246,-2.1896997635927393,-0.0013641498017947081,-0.001254664964986158,0.8592462515196542,-0.0022319435886988385,-3.734184725817121,-0.0023097865419482704,-0.002161551072304924,0.935971903282453,-0.000923147504044314,-1.5790616719214285,-0.0009591435734977913,-0.0008876518173762,0.7771173848439822
D4,mae,training_aligned,lower_better,7403,0.015388704976187247,0.014893610408341815,0.014592211244462213,-0.0004950945678454318,-3.217259467976999,-0.0005128268327009884,-0.0004766112556826733,0.9677157908955829,-0.0007964937317250333,-5.175833398310916,-0.0008264879173512324,-0.0007683508137598241,0.9927056598676213,-0.00030139916387960156,-2.02368099887177,-0.0003142978011234781,-0.00028899526915488496,0.8736998514115899
D4,seam,training_aligned,lower_better,7403,0.021686306645862626,0.019920406330017192,0.01671010025333906,-0.0017659003158454337,-8.142927906916492,-0.0018537700618882211,-0.0016764438796742316,0.9511009050384979,-0.004976206392523565,-22.946306504768252,-0.0051935737308806155,-0.00477837789600453,0.9975685532892071,-0.0032103060766781313,-16.115665631983926,-0.0033355809244573886,-0.003090346600938788,0.9967580710522761
D4,ext_seam,supporting_gt_seam,lower_better,7403,0.011035885791999782,0.010551309018235694,0.010017864525567048,-0.0004845767737640888,-4.390918707362592,-0.0005027192697601531,-0.0004663558719338802,0.9723085235715251,-0.0010180212664327344,-9.224644814381154,-0.0010586542778167434,-0.0009779784492177518,0.9967580710522761,-0.0005334444926686456,-5.055718600855118,-0.0005554558962686889,-0.0005136370556888578,0.9547480751046873
NORMAL,psnr,independent,higher_better,7403,36.494330325459096,36.715785589208124,36.893917226812135,0.22145526374903451,0.6068210096584328,0.21094472715755155,0.23197607861172,0.8551938403349993,0.39958690135304037,1.0949287130069116,0.38696849792879623,0.41336973672900695,0.9357017425368094,0.17813163760400577,0.4851636285194018,0.1680869134113713,0.18885803307490534,0.8179116574361746
NORMAL,ssim,training_aligned,higher_better,7403,0.9580035340813355,0.9606276519005804,0.9623434936921371,0.0026241178192448877,0.273915254577975,0.0025406959669808673,0.0027148055459330855,0.9655545049304336,0.004339959610801572,0.4530212526787093,0.004187778183516338,0.004497059466556071,0.9893286505470755,0.0017158417915566844,0.1786167396037299,0.0016392220371754672,0.0017967794455339275,0.9197622585438335
NORMAL,ms_ssim,independent,higher_better,7403,0.9828857757603012,0.9837536288728009,0.9843468196034898,0.0008678531124996653,0.08829643625968099,0.0008206603171760032,0.0009152440594893429,0.9155747669863569,0.0014610438431885762,0.14864838613198983,0.001384096468966826,0.0015414492423012982,0.9673105497771174,0.000593190730688911,0.06029870826180306,0.00055784534487985,0.0006307007848821941,0.857084965554505
NORMAL,nrmse,independent,lower_better,7403,0.019024503814505885,0.018559509604608622,0.018209721918806786,-0.00046499420989726346,-2.4441857429296667,-0.0004865289903158472,-0.0004442485249519178,0.8551938403349993,-0.000814781895699099,-4.282802346087158,-0.0008454938032967175,-0.0007849545938182368,0.9357017425368094,-0.0003497876858018355,-1.8846817251840409,-0.0003634241947871253,-0.0003364560510168517,0.8179116574361746
NORMAL,rmse,independent,lower_better,7403,0.057073511433390484,0.0556785288071229,0.054629165740207444,-0.0013949826262675792,-2.4441857373637146,-0.0014598143996473285,-0.0013296922476689278,0.8551938403349993,-0.0024443456931830367,-4.282802357510087,-0.002531874101678042,-0.002355545396974532,0.9357017425368094,-0.0010493630669154573,-1.8846817424910358,-0.001088661819523609,-0.0010085574933406361,0.8179116574361746
NORMAL,mae,training_aligned,lower_better,7403,0.014632785894835548,0.01414308133718996,0.013822183265654197,-0.0004897045576455887,-3.346625592454158,-0.0005123211850003285,-0.00046875208075222236,0.9446170471430502,-0.0008106026291813513,-5.539632951695432,-0.0008435459010145672,-0.0007785307282542093,0.9846008374983115,-0.00032089807153576274,-2.2689402958600313,-0.00033414174081602396,-0.000308029812879641,0.8903147372686748
NORMAL,seam,training_aligned,lower_better,7403,0.021355069642409723,0.01952619015120106,0.01655218965016274,-0.0018288794912086623,-8.56414669599874,-0.0019182041019760703,-0.0017348949251328536,0.95569363771444,-0.004802879992246982,-22.49058454348839,-0.005001972622009798,-0.0046147925275234515,0.9963528299338106,-0.00297400050103832,-15.230828328563565,-0.0030923158106049733,-0.0028652563208936325,0.959746048899095
NORMAL,ext_seam,supporting_gt_seam,lower_better,7403,0.010044480595129373,0.009512128574324489,0.008924355652117499,-0.0005323520208048852,-5.299945734008644,-0.0005562908089156494,-0.0005104187594023248,0.9705524787248413,-0.0011201249430118742,-11.151646243958393,-0.0011643364825827084,-0.00107461357318808,0.9954072673240578,-0.0005877729222069891,-6.179194463303712,-0.0006134231595016976,-0.0005644029030209568,0.9496150209374578
