hop_idx,hop,src,dst,latent_rms_mean,latent_rms_p95,latent_l2_mean,sigma_cfg,dt,sigma_times_dt,v13_psnr,a4_psnr,a4_minus_v13_psnr,v13_ms_ssim,a4_ms_ssim,a4_minus_v13_ms_ssim,v13_nrmse,a4_nrmse,a4_minus_v13_nrmse,a4_vs_v13_nrmse_reduction_pct,v13_mae,a4_mae,a4_minus_v13_mae,a4_vs_v13_mae_reduction_pct,v13_seam,a4_seam,a4_minus_v13_seam,a4_vs_v13_seam_reduction_pct,v13_ext_seam,a4_ext_seam,a4_minus_v13_ext_seam,a4_vs_v13_ext_seam_reduction_pct
0,D50->D20,D50,D20,0.033604945987463,0.05865042060613631,14.900300025939941,0.009634,3.0,0.028902,35.21715886120136,35.49179755724709,0.2746386960457272,0.983782459952679,0.9846882612000248,0.0009058012473458499,0.022520158332898513,0.022053268265624527,-0.00046689006727398605,-2.0732095235402097,0.017146239152129452,0.01626153198813473,-0.0008847071639947225,-5.159773849794039,0.025910094768309234,0.01978493305703315,-0.006125161711276084,-23.640059081404054,0.01378958283436204,0.012756471780230238,-0.0010331110541318012,-7.491967426000795
1,D20->D10,D20,D10,0.01629459112882614,0.02953261584043502,7.22496223449707,0.002946,5.0,0.01473,39.209922046187295,39.21083284040149,0.0009107942141923786,0.9927898577608064,0.9929104031348058,0.00012054537399941445,0.013972141533671526,0.013886465348302249,-8.567618536927703e-05,-0.6131929394130857,0.010852716226861422,0.010925471115187208,7.275488832578572e-05,0.6703841398313817,0.023909572573743765,0.024026294814950597,0.00011672224120683194,0.48818204862018394,0.009273032986298372,0.009385016046345685,0.00011198306004731387,1.2076206373122749
2,D10->D4,D10,D4,0.012672252021729946,0.024601667188107953,5.618831157684326,0.000775,15.0,0.011625,41.052393153267076,41.213092493046375,0.16069933977929907,0.9945926583491193,0.9947640395286871,0.00017138117956783105,0.011207391085806017,0.010975186130519022,-0.00023220495528699509,-2.071891250240022,0.008759039281386875,0.008591385074254365,-0.00016765420713251052,-1.9140707302087216,0.021784421492842387,0.020862395822837436,-0.0009220256700049508,-4.232500139183851,0.007529895991183765,0.007363735551775528,-0.0001661604394082375,-2.2066764215971015
3,D4->NORMAL,D4,NORMAL,0.009909543208777905,0.020273300074040882,4.393859386444092,0.000141,75.0,0.010575000000000001,42.97803480062167,43.05144572650762,0.07341092588595188,0.9960867937603433,0.9961842640853968,9.747032505358355e-05,0.008851536463739441,0.008748008145011895,-0.00010352831872754639,-1.1696084533081117,0.007034671431372485,0.006935744534842806,-9.892689652967867e-05,-1.4062760072701468,0.01926316554986399,0.018924048582940976,-0.0003391169669230143,-1.760442571316679,0.006130098090759955,0.006022264342591535,-0.00010783374816841947,-1.7590868298006501
