model,sample_id,slice_idx,hop_idx,src,dst,q_pullback_mse_sum,q_pullback_mse_mean,e_true_mse_sum,e_true_mse_mean,l_latent_sum,l_latent_mean,sqrt_q_over_sqrt_e,delta_norm,jdelta_norm,true_pixel_delta_norm
V13,0,322,0,D50,D20,59.00809860229492,0.0011760223424062133,58.8319091796875,0.0011725109070539474,21.9714298248291,0.00011175247345818207,1.0014962773559628,4.68736917948961,7.6816729038859055,7.67019616305134
V13,1,1064,0,D50,D20,30.476213455200195,0.0006073862314224243,31.92578125,0.0006362759158946574,48.033973693847656,0.0002443134435452521,0.9770341337867967,6.930654636745915,5.520526555972736,5.650290368644783
V13,2,2029,0,D50,D20,30.268089294433594,0.0006032383535057306,29.309860229492188,0.0005841410020366311,17.686922073364258,8.996034011943266e-05,1.016215066590188,4.205582251408746,5.501644235538462,5.413858164885019
V13,3,2833,0,D50,D20,74.34764099121094,0.001481737126596272,73.153564453125,0.0014579392736777663,52.78230285644531,0.0002684646751731634,1.0081284023771835,7.265143003165548,8.62250781334589,8.55298570401734
V13,4,4561,0,D50,D20,52.95269012451172,0.0010553390020504594,55.3736686706543,0.0011035887291654944,14.162997245788574,7.203673158073798e-05,0.9778953144370394,3.7633757779138364,7.276859908264808,7.441348578762743
V13,5,5002,0,D50,D20,17.327646255493164,0.0003453373210504651,18.048236846923828,0.0003596985770855099,40.414527893066406,0.00020555892842821777,0.9798337530209823,6.357242160958351,4.162648946943901,4.2483216505961305
V13,6,7162,0,D50,D20,240.74546813964844,0.004798020236194134,200.96331787109375,0.0040051680989563465,156.78887939453125,0.000797469518147409,1.0945123445861387,12.521536622736495,15.515974611336809,14.176153140788715
V13,7,7368,0,D50,D20,244.31381225585938,0.004869136959314346,247.71682739257812,0.004936958197504282,132.41969299316406,0.0006735214265063405,0.9931074860889348,11.507375591035693,15.630541009698268,15.739022440818175
V13,8,1003,3,D4,NORMAL,21.267379760742188,0.00042385561391711235,20.938716888427734,0.0004173054185230285,37.56671905517578,0.00019107421394437551,1.0078176516307176,6.129169524101596,4.611656943089131,4.575884273933044
V13,9,1730,3,D4,NORMAL,5.046803951263428,0.0001005820304271765,4.920436382293701,9.806354501051828e-05,12.372912406921387,6.29318892606534e-05,1.0127596888408612,3.51751508979299,2.2465092813659657,2.218205667266609
V13,10,2103,3,D4,NORMAL,12.558566093444824,0.0002502902934793383,12.448023796081543,0.00024808719172142446,9.095857620239258,4.6263925469247624e-05,1.0044303405259367,3.0159339548868203,3.5438067234888564,3.5281757036861903
V13,11,3587,3,D4,NORMAL,22.695789337158203,0.00045232358388602734,21.078968048095703,0.0004201006086077541,31.088420867919922,0.00015812389028724283,1.0376430296903218,5.575699137141451,4.764009796081259,4.591183730596686
V13,12,5049,3,D4,NORMAL,38.2795295715332,0.000762905168812722,38.25295639038086,0.0007623755373060703,10.874720573425293,5.5311691539827734e-05,1.0003472746993134,3.2976841227481586,6.187045302204696,6.184897443804615
V13,13,5318,3,D4,NORMAL,43.04718017578125,0.0008579237037338316,43.30097198486328,0.0008629817166365683,29.261825561523438,0.00014883335097692907,0.9970651377239189,5.409420076267274,6.561034992726472,6.580347406092119
V13,14,6155,3,D4,NORMAL,0.006715111434459686,1.338311363952016e-07,0.006182733923196793,1.232209427826092e-07,0.5926529169082642,3.0143887670419645e-06,1.0421646396221023,0.7698395397147799,0.08194578350628962,0.07863036260374737
V13,15,6535,3,D4,NORMAL,10.07143783569336,0.00020072220650035888,9.960647583007812,0.00019851417164318264,19.676389694213867,0.0001000792981358245,1.0055460189169936,4.43580767101256,3.173552872679666,3.156049363208347
