sample_id,slice_idx,dst,direction_idx,top_patchgrid_energy_frac,random_patchgrid_energy_frac,top_minus_random,top_over_random
0,322,D20,0,0.27359692966610094,0.3993863306882761,-0.12578940102217517,0.6850432992901936
0,322,D20,1,0.2652267184267946,0.42076124395739656,-0.15553452553060193,0.6303496869917271
0,322,D20,2,0.2869784940333127,0.4061419276722885,-0.1191634336389758,0.7065965724791471
0,322,D20,3,0.2705055375216623,0.3990842671315124,-0.12857872960985012,0.6778155888378359
0,322,D20,4,0.3346364190120448,0.3867600560894244,-0.0521236370773796,0.8652300405465659
0,322,D20,5,0.3725668988493581,0.4093381019347533,-0.036771203085395165,0.9101691171391215
0,322,D20,6,0.3960067441929246,0.37473552532950943,0.021271218863415153,1.056763283504309
0,322,D20,7,0.40702495696130353,0.41800089185282574,-0.01097593489152221,0.9737418385810843
1,1064,D20,0,0.28229805302828365,0.39356666280452557,-0.11126860977624192,0.7172814155971686
1,1064,D20,1,0.2694502387618317,0.4216914942099894,-0.1522412554481577,0.6389748013927304
1,1064,D20,2,0.2688012308621438,0.4162221442700488,-0.14742091340790497,0.6458119409613705
1,1064,D20,3,0.389009283461615,0.3883199608826216,0.000689322578993401,1.0017751407304085
1,1064,D20,4,0.3121907889301837,0.40490901060031836,-0.09271822167013466,0.7710146743025783
1,1064,D20,5,0.3749650407912754,0.4351675330208494,-0.06020249222957397,0.8616567467438119
1,1064,D20,6,0.3894375697694262,0.4030120792643389,-0.013574509494912734,0.9663173631924588
1,1064,D20,7,0.42133670256822775,0.3816721896552655,0.039664512912962246,1.1039229841419362
2,2029,D20,0,0.2544982725552381,0.3781483685857883,-0.12365009603055022,0.6730116898481384
2,2029,D20,1,0.3773529497250394,0.38963619000176125,-0.01228324027672184,0.9684751042333457
2,2029,D20,2,0.3405622396744914,0.42524929436474646,-0.08468705469025506,0.8008531564602269
2,2029,D20,3,0.33052782934182673,0.36768801544905566,-0.03716018610722893,0.8989355525720756
2,2029,D20,4,0.37451031434970783,0.38478997770517903,-0.010279663355471202,0.9732850023361385
2,2029,D20,5,0.39689421485930015,0.37572204889954147,0.021172165959758682,1.0563506081737024
2,2029,D20,6,0.3360983767887115,0.3827115066152808,-0.04661312982656929,0.8782029570032579
2,2029,D20,7,0.37878490239157514,0.41847026325899905,-0.03968536086742391,0.9051656369598193
3,2833,D20,0,0.2777827747903582,0.41047432952839785,-0.13269155473803967,0.6767360460994195
3,2833,D20,1,0.3105129437431922,0.39332237093032874,-0.08280942718713652,0.7894616901874494
3,2833,D20,2,0.2611930153651656,0.4100095357276418,-0.14881652036247622,0.6370413188113484
3,2833,D20,3,0.22902305943789483,0.39151314784742214,-0.1624900884095273,0.5849690123999314
3,2833,D20,4,0.325151198288682,0.3924642831312926,-0.06731308484261062,0.8284860871783023
3,2833,D20,5,0.40386758805171646,0.4022099080189563,0.0016576800327601782,1.0041214301281758
3,2833,D20,6,0.34848434665022787,0.4301460386994763,-0.08166169204924845,0.8101535648307997
3,2833,D20,7,0.44679166497212974,0.39156124134370823,0.05523042362842151,1.1410518146251887
4,4561,D20,0,0.2754454200834574,0.39300274530131124,-0.11755732521785384,0.700874035554831
