timepoint,stratum,n,stratifier,seam_threshold,psnr_V13,psnr_A4mid,dPSNR_mean,dPSNR_blkCI_lo,dPSNR_blkCI_hi,psnr_win_rate,seam_V13,seam_A4mid,dseam_abs,dseam_pct,ext_seam_V13,ext_seam_A4mid,dext_seam_abs,dext_seam_pct,nrmse_V13,nrmse_A4mid,dnrmse_mean,dnrmse_blkCI_lo,dnrmse_blkCI_hi,nrmse_win_rate
D50,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,49.37437969632786,49.37437969632786,0.0,0.0,0.0,0.0,0.0128422877159308,0.0128422877159308,0.0,0.0,0.003202760970570679,0.003202760970570679,0.0,0.0,0.0043770078602621935,0.0043770078602621935,0.0,0.0,0.0,0.0
D50,mid,2467,V13 seam_NORMAL tertile,"(0.01163887, 0.02827142]",41.541494510949654,41.541494510949654,0.0,0.0,0.0,0.0,0.03881076842008126,0.03881076842008126,0.0,0.0,0.008551388635516365,0.008551388635516365,0.0,0.0,0.008743225539463249,0.008743225539463249,0.0,0.0,0.0,0.0
D50,high,2468,V13 seam_NORMAL tertile,> 0.02827142,36.950821623436426,36.950821623436426,0.0,0.0,0.0,0.0,0.07553144331985244,0.07553144331985244,0.0,0.0,0.016314694455657197,0.016314694455657197,0.0,0.0,0.014525715442075433,0.014525715442075433,0.0,0.0,0.0,0.0
D20,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,42.80342174568145,43.2460660275483,0.44264428186684945,0.38902379235048323,0.49851954714197033,0.8711507293354943,0.00885923882076365,0.006787691992256373,-0.0020715468285072785,-23.382898580994738,0.004511512011705399,0.003998368981684287,-0.0005131430300211115,-11.37408098858498,0.009991667956298009,0.009742357817328334,-0.00024931013896967413,-0.0002643333188551877,-0.00023458343206429936,0.8711507293354943
D20,mid,2467,V13 seam_NORMAL tertile,"(0.01163887, 0.02827142]",33.71642129974149,33.88072316676182,0.16430186702033764,0.15518275311542234,0.1728653789248857,0.8747466558573166,0.02282420305454405,0.01743324749084146,-0.0053909555637025874,-23.6194689944686,0.012528535841998489,0.011585687535554785,-0.0009428483064437045,-7.525606490130024,0.021610742205331816,0.02124703956113306,-0.0003637026441987587,-0.00038471399368587183,-0.00034154308543490826,0.8747466558573166
D20,high,2468,V13 seam_NORMAL tertile,> 0.02827142,29.131025459752678,29.3479506920217,0.21692523226902777,0.20369266387139756,0.23001196109652933,0.9230145867098866,0.046045592068309577,0.03513290681702652,-0.010912685251283057,-23.699739239086913,0.024328189690309008,0.02268488443761492,-0.0016433052526940892,-6.754737091468381,0.03595769635403171,0.035170080745517196,-0.0007876156085145145,-0.0008158000844412384,-0.0007594012935348867,0.9230145867098866
D10,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,43.00767652584149,43.35940436147973,0.3517278356382447,0.32782437652245905,0.37546703578455426,0.9108589951377634,0.008239198375509843,0.006606645100760169,-0.0016325532747496743,-19.814467383165194,0.004219760134941781,0.003824246489792175,-0.0003955136451496072,-9.372894015338717,0.009608636116494306,0.009298067523615405,-0.0003105685928789011,-0.0003287286952448181,-0.0002925292875694603,0.9108589951377634
D10,mid,2467,V13 seam_NORMAL tertile,"(0.01163887, 0.02827142]",34.261333534927424,34.49271863121933,0.23138509629190868,0.2203416559977982,0.24288408612751508,0.915281718686664,0.019611653097179216,0.015469859104851129,-0.004141793992328085,-21.11904576225554,0.011149933519401287,0.010371986826233151,-0.0007779466931681356,-6.977141987568627,0.020188608888973048,0.0196944745091391,-0.0004941343798339496,-0.0005142398116684437,-0.0004745859675691528,0.915281718686664
D10,high,2468,V13 seam_NORMAL tertile,> 0.02827142,29.521720096999704,29.806599788173713,0.2848796911740176,0.2725200018621235,0.2976424633389487,0.9594813614262561,0.03965965887483332,0.03032973352925337,-0.009329925345579948,-23.52497628642087,0.021785184535359377,0.020217047755589822,-0.0015681367797695535,-7.198179924637875,0.03420753115440927,0.03317558878505933,-0.0010319423693499398,-0.0010658494847937095,-0.0009974095218249043,0.9594813614262561
D4,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,43.34989818411928,43.72584486506261,0.37594668094333455,0.3507000316709746,0.4020733026533753,0.9124797406807131,0.008145733266690325,0.0065766827454182405,-0.001569050521272084,-19.262237909118298,0.003927033413678879,0.0035508142969756604,-0.0003762191167032195,-9.580237219086305,0.009146190844987495,0.008779649018303168,-0.00036654182668432734,-0.00039120627384946113,-0.0003404849569502491,0.9124797406807131
