point,step,val_select_score,val_d1_select_score,val_d1_guard_ok,val_d1_guard_metric,val_d1_guard_limit,val_chain_tail_mse,val_chain_normal_mse,val_hop0_img_total,val_hop0_img_seam,val_pair_total,val_rollout_total
best_transport,46400,0.0005961297529874148,0.0019445818578350117,1.0,0.0001990767541938792,0.00020151186070393125,0.00019835807365652558,0.0001990767541938792,0.005173285535689771,0.0019445818578350117,2.882334275782299e-08,0.0006219688943087089
best_d1_any,44800,0.000658383305813004,0.0016670641322207302,0.0,0.00022032001913885324,0.00020151186070393125,0.00021854006553212457,0.00022032001913885324,0.004434745881383151,0.0016670641322207302,2.483482570980744e-08,0.0005664267478096008
best_d1_guard,46400,0.0005961297529874148,0.0019445818578350117,1.0,0.0001990767541938792,0.00020151186070393125,0.00019835807365652558,0.0001990767541938792,0.005173285535689771,0.0019445818578350117,2.882334275782299e-08,0.0006219688943087089
final,50000,0.0007484779157550747,0.003527198075062188,0.0,0.0002468212204007614,0.00020151186070393125,0.00024967054603545574,0.0002468212204007614,0.010034105547674699,0.003527198075062188,0.0001252816215924213,0.0006093234715081053
