metric,timepoint,best,last,delta_last_minus_best
psnr_clip3,D50,38.59157706579111,38.635481089218324,0.043904023427217
psnr_clip3,D20,35.92396974072659,35.90349093256646,-0.020478808160127926
psnr_clip3,D10,36.09416878224948,36.08327050240171,-0.010898279847772585
psnr_clip3,D4,36.14683844613958,36.10904120348684,-0.037797242652743535
psnr_clip3,NORMAL,36.44965867263591,36.43774079983873,-0.011917872797184259
psnr_clip3,"transport_avg(D20,D10,D4,NORMAL)",36.15365891043789,36.13338585957344,-0.020273050864453523
psnr_clip3,all_avg(5tp),36.64124254150853,36.633804905502416,-0.007437636006116577
seam_consistency_l1(lower_better),D50,0.005947256476574192,0.005974437991504643,2.7181514930450963e-05
seam_consistency_l1(lower_better),D20,0.0041732228015802725,0.004204424091560813,3.1201289980540246e-05
seam_consistency_l1(lower_better),D10,0.003549983175725548,0.0035970489821339777,4.706580640842983e-05
seam_consistency_l1(lower_better),D4,0.0034173076495444686,0.0034611980143887185,4.389036484424985e-05
seam_consistency_l1(lower_better),NORMAL,0.0033070530026145183,0.0033339851637254263,2.6932161110907946e-05
seam_consistency_l1(lower_better),"transport_avg(D20,D10,D4,NORMAL)",0.0036118916573662017,0.003649164062952234,3.7272405586032294e-05
extended_seam_l1(lower_better),D50,0.0022766530252815724,0.0022649006325633036,-1.1752392718268785e-05
extended_seam_l1(lower_better),D20,0.002570808733476689,0.0025715203902303093,7.116567536202649e-07
extended_seam_l1(lower_better),D10,0.0022820883065113136,0.0022812524826504774,-8.358238608361344e-07
extended_seam_l1(lower_better),D4,0.00197488186649405,0.001979009369952451,4.127503458400874e-06
extended_seam_l1(lower_better),NORMAL,0.001752266665191836,0.001755946851259984,3.6801860681479146e-06
extended_seam_l1(lower_better),"transport_avg(D20,D10,D4,NORMAL)",0.002145011392918472,0.0021469322735233054,1.920880604833284e-06
