timepoint,n,mean,std,min,max
D50,7403.0,42.62237927154578,7.256315838058097,31.137290954589844,72.06834411621094
D20,7403.0,35.56574187535749,8.772880076802366,22.911455154418945,75.28559112548828
D10,7403.0,35.92639744702053,8.293907977496135,23.64099884033203,73.15587615966797
D4,7403.0,36.49310952619042,7.978364727080318,24.55864143371582,71.4961166381836
NORMAL,7403.0,36.76785029641007,7.38620549684114,25.00752067565918,66.3803939819336
