scheme,checkpoint_kind,D50,D20,D10,D4,NORMAL,transport_avg,all_avg,runtime_sec
N1,best,42.6223809544853,35.55822798839601,35.8745305660237,36.40676689843592,36.65423028707085,36.12343893498162,37.42322733888236,222.941752910614
N1,last,42.6223809544853,35.55676075781936,35.896564908757426,36.45676412328617,36.73458996280277,36.16116993816643,37.453412141430206,219.31032943725586
v2,best,42.6223809544853,35.566331454520125,35.924281758101394,36.49967058494286,36.798291171448916,36.197143742253324,37.482191184699715,217.36811184883118
v2,last,42.6223809544853,35.5693925122997,35.93020429125544,36.49366316897763,36.7580247544347,36.18782118174187,37.47473313629056,217.5587923526764
