timepoint,n,mean,std,min,max
D50,7403.0,42.62237927154578,7.256315838058097,31.137290954589844,72.06834411621094
D20,7403.0,35.55893089029574,8.769316590427678,22.935409545898438,75.2559585571289
D10,7403.0,35.90863940104848,8.261669585911589,23.660127639770508,72.82056427001953
D4,7403.0,36.47144734806327,7.94430447175409,24.556640625,71.09540557861328
NORMAL,7403.0,36.71287998424645,7.242446729520476,25.03396987915039,65.27629852294922
