scheme,checkpoint_kind,D50,D20,D10,D4,NORMAL,transport_avg,all_avg,runtime_sec
C,best,42.6223809544853,35.569029702281014,35.94213684156233,36.50539344912298,36.805527613515004,36.20552190162033,37.48889371219333,226.62106466293335
C,last,42.6223809544853,35.5707817896949,35.94868047730465,36.50491438539354,36.79337101067689,36.20443691576749,37.48802572351106,216.1062982082367
N1,best,42.6223809544853,35.55822798839601,35.8745305660237,36.40676689843592,36.65423028707085,36.12343893498162,37.42322733888236,222.941752910614
N1,last,42.6223809544853,35.55676075781936,35.896564908757426,36.45676412328617,36.73458996280277,36.16116993816643,37.453412141430206,219.31032943725586
v2,best,42.6223809544853,35.566331454520125,35.924281758101394,36.49967058494286,36.798291171448916,36.197143742253324,37.482191184699715,217.36811184883118
v2,last,42.6223809544853,35.5693925122997,35.93020429125544,36.49366316897763,36.7580247544347,36.18782118174187,37.47473313629056,217.5587923526764
