experiment,lambda_img,ckpt,checkpoint_step,num_eval_slices,D50_PSNR,D20_PSNR,D10_PSNR,D4_PSNR,NORMAL_PSNR,NORMAL_MSE,tail_chain_mse,transport_psnr_avg,delta_NORMAL_PSNR_vs_V7_best,delta_D20_PSNR_vs_V7_best,delta_tail_mse_vs_V7_best,runtime_sec,json_path
A4-mid,0.08,best,160000,7403,42.622377790600225,35.49179748469199,35.88642927615784,36.45925268276018,36.89391730892228,0.00023997073389419197,0.00026363886597938603,36.182849188133076,0.11296596627581579,0.05639968536100781,-4.7016229736179175e-06,378.59242701530457,review/0521/A4_image_aux_lambda_08/fullval_eval/artifacts/a4_image_aux_lambda_08_best_fullval_psnr_chain_mse.json
A4-mid,0.08,last,160000,7403,42.622377790600225,35.49179748469199,35.88642927615784,36.45925268276018,36.89391730892228,0.00023997073389419197,0.00026363886597938603,36.182849188133076,0.11296596627581579,0.05639968536100781,-4.7016229736179175e-06,378.3390965461731,review/0521/A4_image_aux_lambda_08/fullval_eval/artifacts/a4_image_aux_lambda_08_last_fullval_psnr_chain_mse.json
A4-low,0.02,best,160000,7403,42.622377790600225,35.37372496771229,35.75362677279798,36.2961429615013,36.70095776139635,0.0002490681076811412,0.0002717622489070664,36.03111311585198,-0.07999358125011469,-0.061672831618693635,3.421759954062441e-06,381.70598435401917,review/0521/A4_image_aux_lambda_02/fullval_eval/artifacts/a4_image_aux_lambda_02_best_fullval_psnr_chain_mse.json
A4-low,0.02,last,160000,7403,42.622377790600225,35.37372496771229,35.75362677279798,36.2961429615013,36.70095776139635,0.0002490681076811412,0.0002717622489070664,36.03111311585198,-0.07999358125011469,-0.061672831618693635,3.421759954062441e-06,377.9159138202667,review/0521/A4_image_aux_lambda_02/fullval_eval/artifacts/a4_image_aux_lambda_02_last_fullval_psnr_chain_mse.json
